"Station","year","TP","epar","secchi","chla","TPn","eparn","secchin","chlan"
"B",1972,0.0724047619047619,1.63,1.31428571428571,NA,21,21,21,0
"B",1973,0.0885416666666667,1.83125,1.22916666666667,NA,24,24,24,0
"B",1974,0.0875217391304348,2.01478260869565,1.09130434782609,NA,23,23,23,0
"B",1975,0.0933409090909091,1.95681818181818,0.95,NA,22,22,22,0
"B",1976,0.0714423076923077,2.03,1.1,NA,26,24,26,0
"B",1977,0.0715833333333333,1.82291666666667,1.27916666666667,35.7434782608696,24,24,24,23
"B",1978,0.0454130434782609,1.40434782608696,1.31739130434783,19.3826086956522,23,23,23,23
"B",1979,0.0455909090909091,1.52380952380952,1.34545454545455,25.3386363636364,22,21,22,22
"B",1980,0.0468636363636364,1.47,1.30434782608696,22.4142857142857,22,20,23,21
"B",1981,0.0518636363636364,1.39473684210526,1.39090909090909,21.5190476190476,22,19,22,21
"B",1982,0.05995,1.4455,1.36521739130435,20.4666666666667,20,20,23,21
"B",1983,0.0531666666666667,1.327,1.55833333333333,18.6,12,10,12,11
"B",1984,0.0541,1.47636363636364,1.13636363636364,32.4272727272727,10,11,11,11
"B",1985,0.0506,1.85909090909091,1.17272727272727,31.6545454545455,10,11,11,11
"B",1986,0.0325,1.175,1.72,13.6909090909091,10,10,10,11
"B",1987,0.0371666666666667,1.69090909090909,1.35833333333333,33.1258333333333,12,11,12,12
"B",1988,0.0461538461538461,1.73538461538462,1.21153846153846,30.3815384615385,13,13,13,13
"B",1989,0.0386153846153846,1.48423076923077,1.38846153846154,21.6746153846154,13,13,13,13
"B",1990,0.0393846153846154,1.46435714285714,1.25714285714286,24.5035714285714,13,14,14,14
"B",1991,0.0378461538461538,1.42683333333333,1.2625,25.9953846153846,13,12,12,13
"B",1992,0.0314615384615385,1.22338461538462,1.29285714285714,20.7221428571429,13,13,14,14
"B",1993,0.0392307692307692,1.417,1.28846153846154,20.26,13,12,13,13
"B",1994,0.0358333333333333,1.46353846153846,1.33076923076923,25.7569230769231,12,13,13,13
"B",1995,0.0266153846153846,1.20653846153846,1.36923076923077,16.2053846153846,13,13,13,13
"B",1996,0.0407692307692308,1.10076923076923,1.88461538461538,9.08230769230769,13,13,13,13
"B",1997,0.0272307692307692,1.02615384615385,2.09230769230769,10.3930769230769,13,13,13,13
"B",1998,0.0430769230769231,1.31238461538462,1.76923076923077,16.67,13,13,13,13
